2022-07-27 11:07:47 INFO  LoginPage :63 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (eb318d1732497b09ff918f50eb1edc7f)] -> xpath: //input[@id='login_inp']]
2022-07-27 11:07:102 INFO  LoginPage :51 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (eb318d1732497b09ff918f50eb1edc7f)] -> xpath: //input[@type='password']]
2022-07-27 11:07:162 INFO  LoginPage :46 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (eb318d1732497b09ff918f50eb1edc7f)] -> xpath: //button[contains(text(),'Login')]]
2022-07-27 11:07:598 INFO  LoginPage :40 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (eb318d1732497b09ff918f50eb1edc7f)] -> xpath: //div[@id='error']]
2022-08-04 16:08:245 INFO  ManageDriver :33 - Launching Chrome Browser
2022-08-04 16:08:360 INFO  ManageDriver :33 - Launching Chrome Browser
2022-08-04 16:08:282 INFO  HomePage :36 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (b1ae3e40a8e0eab9fb787d3d0fb12891)] -> xpath: //button[@id='ccc-notify-accept']]
2022-08-04 16:08:353 INFO  HomePage :30 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (b1ae3e40a8e0eab9fb787d3d0fb12891)] -> xpath: //a[contains(text(),'Login')]]
2022-08-04 16:08:807 INFO  LoginPage :63 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (b1ae3e40a8e0eab9fb787d3d0fb12891)] -> xpath: //input[@id='login_inp']]
2022-08-04 16:08:863 INFO  LoginPage :51 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (b1ae3e40a8e0eab9fb787d3d0fb12891)] -> xpath: //input[@type='password']]
2022-08-04 16:08:913 INFO  LoginPage :46 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (b1ae3e40a8e0eab9fb787d3d0fb12891)] -> xpath: //button[contains(text(),'Login')]]
2022-08-04 16:08:293 INFO  LoginPage :40 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (b1ae3e40a8e0eab9fb787d3d0fb12891)] -> xpath: //div[@id='error']]
2022-08-04 16:08:869 INFO  ManageDriver :33 - Launching Chrome Browser
2022-08-04 16:08:842 INFO  HomePage :36 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (9b011d223cb139ef353241ca44be58a3)] -> xpath: //button[@id='ccc-notify-accept']]
2022-08-04 16:08:902 INFO  HomePage :30 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (9b011d223cb139ef353241ca44be58a3)] -> xpath: //a[contains(text(),'Login')]]
2022-08-04 16:08:287 INFO  LoginPage :63 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (9b011d223cb139ef353241ca44be58a3)] -> xpath: //input[@id='login_inp']]
2022-08-04 16:08:335 INFO  LoginPage :51 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (9b011d223cb139ef353241ca44be58a3)] -> xpath: //input[@type='password']]
2022-08-04 16:08:389 INFO  LoginPage :46 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (9b011d223cb139ef353241ca44be58a3)] -> xpath: //button[contains(text(),'Login')]]
2022-08-04 16:08:788 INFO  LoginPage :40 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (9b011d223cb139ef353241ca44be58a3)] -> xpath: //div[@id='error']]
